Subject,Start Date,Start Time,End Time
Period 2,1/5/2023,8:38 AM,9:21 AM
Period 3,1/5/2023,9:26 AM,10:09 AM
Period 4,1/5/2023,10:14 AM,10:57 AM
Lunch,1/5/2023,10:57 AM,11:47 AM
Period 5,1/5/2023,11:52 AM,12:54 PM
Period 6,1/5/2023,12:59 PM,1:42 PM
Period 7,1/5/2023,1:47 PM,2:30 PM
Period 1,1/6/2023,7:45 AM,8:33 AM
Period 2,1/6/2023,8:38 AM,9:21 AM
Period 3,1/6/2023,9:26 AM,10:09 AM
Period 4,1/6/2023,10:14 AM,10:57 AM
Lunch,1/6/2023,10:57 AM,11:47 AM
Period 5,1/6/2023,11:52 AM,12:35 PM
Period 6,1/6/2023,12:40 PM,1:42 PM
Period 7,1/6/2023,1:47 PM,2:30 PM
Period 1,1/9/2023,7:45 AM,8:33 AM
Period 2,1/9/2023,8:38 AM,9:21 AM
Period 3,1/9/2023,9:26 AM,10:09 AM
Period 4,1/9/2023,10:14 AM,10:57 AM
Lunch,1/9/2023,10:57 AM,11:47 AM
Period 5,1/9/2023,11:52 AM,12:35 PM
Period 6,1/9/2023,12:40 PM,1:23 PM
Period 7,1/9/2023,1:28 PM,2:30 PM
Period 1,1/10/2023,7:45 AM,8:52 AM
Period 2,1/10/2023,8:57 AM,9:40 AM
Period 3,1/10/2023,9:45 AM,10:28 AM
Period 4,1/10/2023,10:33 AM,11:16 AM
Lunch,1/10/2023,11:16 AM,12:06 PM
Period 5,1/10/2023,12:11 PM,12:54 PM
Period 6,1/10/2023,12:59 PM,1:42 PM
Period 7,1/10/2023,1:47 PM,2:30 PM
Period 1,1/11/2023,7:45 AM,8:30 AM
Period 2,1/11/2023,8:35 AM,9:17 AM
Period 3,1/11/2023,9:52 AM,10:34 AM
Period 4,1/11/2023,10:39 AM,11:21 AM
Lunch,1/11/2023,11:21 AM,12:09 PM
Period 5,1/11/2023,12:14 PM,12:56 PM
Period 6,1/11/2023,1:01 PM,1:43 PM
Period 7,1/11/2023,1:48 PM,2:30 PM
Advisory,1/11/2023,9:22 AM,9:47 AM
Period 1,1/12/2023,7:45 AM,8:33 AM
Period 2,1/12/2023,8:38 AM,9:40 AM
Period 3,1/12/2023,9:45 AM,10:28 AM
Period 4,1/12/2023,10:33 AM,11:16 AM
Lunch,1/12/2023,11:16 AM,12:06 PM
Period 5,1/12/2023,12:11 PM,12:54 PM
Period 6,1/12/2023,12:59 PM,1:42 PM
Period 7,1/12/2023,1:47 PM,2:30 PM
Period 1,1/13/2023,7:45 AM,8:33 AM
Period 2,1/13/2023,8:38 AM,9:21 AM
Period 3,1/13/2023,9:26 AM,10:28 AM
Period 4,1/13/2023,10:33 AM,11:16 AM
Lunch,1/13/2023,11:16 AM,12:06 PM
Period 5,1/13/2023,12:11 PM,12:54 PM
Period 6,1/13/2023,12:59 PM,1:42 PM
Period 7,1/13/2023,1:47 PM,2:30 PM
Period 1,1/17/2023,7:45 AM,8:33 AM
Period 2,1/17/2023,8:38 AM,9:21 AM
Period 3,1/17/2023,9:26 AM,10:09 AM
Period 4,1/17/2023,10:14 AM,11:16 AM
Lunch,1/17/2023,11:16 AM,12:06 PM
Period 5,1/17/2023,12:11 PM,12:54 PM
Period 6,1/17/2023,12:59 PM,1:42 PM
Period 7,1/17/2023,1:47 PM,2:30 PM
Period 1,1/18/2023,7:45 AM,8:30 AM
Period 2,1/18/2023,8:35 AM,9:17 AM
Period 3,1/18/2023,9:52 AM,10:34 AM
Period 4,1/18/2023,10:39 AM,11:21 AM
Lunch,1/18/2023,11:21 AM,12:09 PM
Period 5,1/18/2023,12:14 PM,12:56 PM
Period 6,1/18/2023,1:01 PM,1:43 PM
Period 7,1/18/2023,1:48 PM,2:30 PM
Advisory,1/18/2023,9:22 AM,9:47 AM
Period 1,1/19/2023,7:45 AM,8:33 AM
Period 2,1/19/2023,8:38 AM,9:21 AM
Period 3,1/19/2023,9:26 AM,10:09 AM
Period 4,1/19/2023,10:14 AM,10:57 AM
Lunch,1/19/2023,10:57 AM,11:47 AM
Period 5,1/19/2023,11:52 AM,12:54 PM
Period 6,1/19/2023,12:59 PM,1:42 PM
Period 7,1/19/2023,1:47 PM,2:30 PM
Period 1,1/20/2023,7:45 AM,8:33 AM
Period 2,1/20/2023,8:38 AM,9:21 AM
Period 3,1/20/2023,9:26 AM,10:09 AM
Period 4,1/20/2023,10:14 AM,10:57 AM
Lunch,1/20/2023,10:57 AM,11:47 AM
Period 5,1/20/2023,11:52 AM,12:35 PM
Period 6,1/20/2023,12:40 PM,1:42 PM
Period 7,1/20/2023,1:47 PM,2:30 PM
Period 1,1/23/2023,7:45 AM,8:33 AM
Period 2,1/23/2023,8:38 AM,9:21 AM
Period 3,1/23/2023,9:26 AM,10:09 AM
Period 4,1/23/2023,10:14 AM,10:57 AM
Lunch,1/23/2023,10:57 AM,11:47 AM
Period 5,1/23/2023,11:52 AM,12:35 PM
Period 6,1/23/2023,12:40 PM,1:23 PM
Period 7,1/23/2023,1:28 PM,2:30 PM
Period 1,1/24/2023,7:45 AM,8:52 AM
Period 2,1/24/2023,8:57 AM,9:40 AM
Period 3,1/24/2023,9:45 AM,10:28 AM
Period 4,1/24/2023,10:33 AM,11:16 AM
Lunch,1/24/2023,11:16 AM,12:06 PM
Period 5,1/24/2023,12:11 PM,12:54 PM
Period 6,1/24/2023,12:59 PM,1:42 PM
Period 7,1/24/2023,1:47 PM,2:30 PM
Period 1,1/25/2023,7:45 AM,8:30 AM
Period 2,1/25/2023,8:35 AM,9:17 AM
Period 3,1/25/2023,9:52 AM,10:34 AM
Period 4,1/25/2023,10:39 AM,11:21 AM
Lunch,1/25/2023,11:21 AM,12:09 PM
Period 5,1/25/2023,12:14 PM,12:56 PM
Period 6,1/25/2023,1:01 PM,1:43 PM
Period 7,1/25/2023,1:48 PM,2:30 PM
Advisory,1/25/2023,9:22 AM,9:47 AM
Period 1,1/26/2023,7:45 AM,8:33 AM
Period 2,1/26/2023,8:38 AM,9:40 AM
Period 3,1/26/2023,9:45 AM,10:28 AM
Period 4,1/26/2023,10:33 AM,11:16 AM
Lunch,1/26/2023,11:16 AM,12:06 PM
Period 5,1/26/2023,12:11 PM,12:54 PM
Period 6,1/26/2023,12:59 PM,1:42 PM
Period 7,1/26/2023,1:47 PM,2:30 PM
Period 1,1/30/2023,7:45 AM,8:33 AM
Period 2,1/30/2023,8:38 AM,9:21 AM
Period 3,1/30/2023,9:26 AM,10:28 AM
Period 4,1/30/2023,10:33 AM,11:16 AM
Lunch,1/30/2023,11:16 AM,12:06 PM
Period 5,1/30/2023,12:11 PM,12:54 PM
Period 6,1/30/2023,12:59 PM,1:42 PM
Period 7,1/30/2023,1:47 PM,2:30 PM
Period 1,1/31/2023,7:45 AM,8:33 AM
Period 2,1/31/2023,8:38 AM,9:21 AM
Period 3,1/31/2023,9:26 AM,10:09 AM
Period 4,1/31/2023,10:14 AM,11:16 AM
Lunch,1/31/2023,11:16 AM,12:06 PM
Period 5,1/31/2023,12:11 PM,12:54 PM
Period 6,1/31/2023,12:59 PM,1:42 PM
Period 7,1/31/2023,1:47 PM,2:30 PM
Period 1,2/1/2023,7:45 AM,8:30 AM
Period 2,2/1/2023,8:35 AM,9:17 AM
Period 3,2/1/2023,9:52 AM,10:34 AM
Period 4,2/1/2023,10:39 AM,11:21 AM
Lunch,2/1/2023,11:21 AM,12:09 PM
Period 5,2/1/2023,12:14 PM,12:56 PM
Period 6,2/1/2023,1:01 PM,1:43 PM
Period 7,2/1/2023,1:48 PM,2:30 PM
Advisory,2/1/2023,9:22 AM,9:47 AM
Period 1,2/2/2023,7:45 AM,8:33 AM
Period 2,2/2/2023,8:38 AM,9:21 AM
Period 3,2/2/2023,9:26 AM,10:09 AM
Period 4,2/2/2023,10:14 AM,10:57 AM
Lunch,2/2/2023,10:57 AM,11:47 AM
Period 5,2/2/2023,11:52 AM,12:54 PM
Period 6,2/2/2023,12:59 PM,1:42 PM
Period 7,2/2/2023,1:47 PM,2:30 PM
Period 1,2/3/2023,7:45 AM,8:33 AM
Period 2,2/3/2023,8:38 AM,9:21 AM
Period 3,2/3/2023,9:26 AM,10:09 AM
Period 4,2/3/2023,10:14 AM,10:57 AM
Lunch,2/3/2023,10:57 AM,11:47 AM
Period 5,2/3/2023,11:52 AM,12:35 PM
Period 6,2/3/2023,12:40 PM,1:42 PM
Period 7,2/3/2023,1:47 PM,2:30 PM
Period 1,2/6/2023,7:45 AM,8:33 AM
Period 2,2/6/2023,8:38 AM,9:21 AM
Period 3,2/6/2023,9:26 AM,10:09 AM
Period 4,2/6/2023,10:14 AM,10:57 AM
Lunch,2/6/2023,10:57 AM,11:47 AM
Period 5,2/6/2023,11:52 AM,12:35 PM
Period 6,2/6/2023,12:40 PM,1:23 PM
Period 7,2/6/2023,1:28 PM,2:30 PM
Period 1,2/7/2023,7:45 AM,8:52 AM
Period 2,2/7/2023,8:57 AM,9:40 AM
Period 3,2/7/2023,9:45 AM,10:28 AM
Period 4,2/7/2023,10:33 AM,11:16 AM
Lunch,2/7/2023,11:16 AM,12:06 PM
Period 5,2/7/2023,12:11 PM,12:54 PM
Period 6,2/7/2023,12:59 PM,1:42 PM
Period 7,2/7/2023,1:47 PM,2:30 PM
Period 1,2/8/2023,7:45 AM,8:30 AM
Period 2,2/8/2023,8:35 AM,9:17 AM
Period 3,2/8/2023,9:52 AM,10:34 AM
Period 4,2/8/2023,10:39 AM,11:21 AM
Lunch,2/8/2023,11:21 AM,12:09 PM
Period 5,2/8/2023,12:14 PM,12:56 PM
Period 6,2/8/2023,1:01 PM,1:43 PM
Period 7,2/8/2023,1:48 PM,2:30 PM
Advisory,2/8/2023,9:22 AM,9:47 AM
Period 1,2/9/2023,7:45 AM,8:33 AM
Period 2,2/9/2023,8:38 AM,9:40 AM
Period 3,2/9/2023,9:45 AM,10:28 AM
Period 4,2/9/2023,10:33 AM,11:16 AM
Lunch,2/9/2023,11:16 AM,12:06 PM
Period 5,2/9/2023,12:11 PM,12:54 PM
Period 6,2/9/2023,12:59 PM,1:42 PM
Period 7,2/9/2023,1:47 PM,2:30 PM
Period 1,2/10/2023,7:45 AM,8:33 AM
Period 2,2/10/2023,8:38 AM,9:21 AM
Period 3,2/10/2023,9:26 AM,10:28 AM
Period 4,2/10/2023,10:33 AM,11:16 AM
Lunch,2/10/2023,11:16 AM,12:06 PM
Period 5,2/10/2023,12:11 PM,12:54 PM
Period 6,2/10/2023,12:59 PM,1:42 PM
Period 7,2/10/2023,1:47 PM,2:30 PM
Period 1,2/13/2023,7:45 AM,8:33 AM
Period 2,2/13/2023,8:38 AM,9:21 AM
Period 3,2/13/2023,9:26 AM,10:09 AM
Period 4,2/13/2023,10:14 AM,11:16 AM
Lunch,2/13/2023,11:16 AM,12:06 PM
Period 5,2/13/2023,12:11 PM,12:54 PM
Period 6,2/13/2023,12:59 PM,1:42 PM
Period 7,2/13/2023,1:47 PM,2:30 PM
Period 1,2/14/2023,7:45 AM,8:33 AM
Period 2,2/14/2023,8:38 AM,9:21 AM
Period 3,2/14/2023,9:26 AM,10:09 AM
Period 4,2/14/2023,10:14 AM,10:57 AM
Lunch,2/14/2023,10:57 AM,11:47 AM
Period 5,2/14/2023,11:52 AM,12:54 PM
Period 6,2/14/2023,12:59 PM,1:42 PM
Period 7,2/14/2023,1:47 PM,2:30 PM
Period 1,2/15/2023,7:45 AM,8:30 AM
Period 2,2/15/2023,8:35 AM,9:17 AM
Period 3,2/15/2023,9:52 AM,10:34 AM
Period 4,2/15/2023,10:39 AM,11:21 AM
Lunch,2/15/2023,11:21 AM,12:09 PM
Period 5,2/15/2023,12:14 PM,12:56 PM
Period 6,2/15/2023,1:01 PM,1:43 PM
Period 7,2/15/2023,1:48 PM,2:30 PM
Advisory,2/15/2023,9:22 AM,9:47 AM
Period 1,2/16/2023,7:45 AM,8:33 AM
Period 2,2/16/2023,8:38 AM,9:21 AM
Period 3,2/16/2023,9:26 AM,10:09 AM
Period 4,2/16/2023,10:14 AM,10:57 AM
Lunch,2/16/2023,10:57 AM,11:47 AM
Period 5,2/16/2023,11:52 AM,12:35 PM
Period 6,2/16/2023,12:40 PM,1:42 PM
Period 7,2/16/2023,1:47 PM,2:30 PM
Period 1,2/17/2023,7:45 AM,8:33 AM
Period 2,2/17/2023,8:38 AM,9:21 AM
Period 3,2/17/2023,9:26 AM,10:09 AM
Period 4,2/17/2023,10:14 AM,10:57 AM
Lunch,2/17/2023,10:57 AM,11:47 AM
Period 5,2/17/2023,11:52 AM,12:35 PM
Period 6,2/17/2023,12:40 PM,1:23 PM
Period 7,2/17/2023,1:28 PM,2:30 PM
Period 1,2/21/2023,7:45 AM,8:52 AM
Period 2,2/21/2023,8:57 AM,9:40 AM
Period 3,2/21/2023,9:45 AM,10:28 AM
Period 4,2/21/2023,10:33 AM,11:16 AM
Lunch,2/21/2023,11:16 AM,12:06 PM
Period 5,2/21/2023,12:11 PM,12:54 PM
Period 6,2/21/2023,12:59 PM,1:42 PM
Period 7,2/21/2023,1:47 PM,2:30 PM
Period 1,2/22/2023,7:45 AM,8:30 AM
Period 2,2/22/2023,8:35 AM,9:17 AM
Period 3,2/22/2023,9:52 AM,10:34 AM
Period 4,2/22/2023,10:39 AM,11:21 AM
Lunch,2/22/2023,11:21 AM,12:09 PM
Period 5,2/22/2023,12:14 PM,12:56 PM
Period 6,2/22/2023,1:01 PM,1:43 PM
Period 7,2/22/2023,1:48 PM,2:30 PM
Advisory,2/22/2023,9:22 AM,9:47 AM
Period 1,2/23/2023,7:45 AM,8:33 AM
Period 2,2/23/2023,8:38 AM,9:40 AM
Period 3,2/23/2023,9:45 AM,10:28 AM
Period 4,2/23/2023,10:33 AM,11:16 AM
Lunch,2/23/2023,11:16 AM,12:06 PM
Period 5,2/23/2023,12:11 PM,12:54 PM
Period 6,2/23/2023,12:59 PM,1:42 PM
Period 7,2/23/2023,1:47 PM,2:30 PM
Period 1,2/24/2023,7:45 AM,8:33 AM
Period 2,2/24/2023,8:38 AM,9:21 AM
Period 3,2/24/2023,9:26 AM,10:28 AM
Period 4,2/24/2023,10:33 AM,11:16 AM
Lunch,2/24/2023,11:16 AM,12:06 PM
Period 5,2/24/2023,12:11 PM,12:54 PM
Period 6,2/24/2023,12:59 PM,1:42 PM
Period 7,2/24/2023,1:47 PM,2:30 PM
Period 1,2/27/2023,7:45 AM,8:33 AM
Period 2,2/27/2023,8:38 AM,9:21 AM
Period 3,2/27/2023,9:26 AM,10:09 AM
Period 4,2/27/2023,10:14 AM,11:16 AM
Lunch,2/27/2023,11:16 AM,12:06 PM
Period 5,2/27/2023,12:11 PM,12:54 PM
Period 6,2/27/2023,12:59 PM,1:42 PM
Period 7,2/27/2023,1:47 PM,2:30 PM
Period 1,2/28/2023,7:45 AM,8:33 AM
Period 2,2/28/2023,8:38 AM,9:21 AM
Period 3,2/28/2023,9:26 AM,10:09 AM
Period 4,2/28/2023,10:14 AM,10:57 AM
Lunch,2/28/2023,10:57 AM,11:47 AM
Period 5,2/28/2023,11:52 AM,12:54 PM
Period 6,2/28/2023,12:59 PM,1:42 PM
Period 7,2/28/2023,1:47 PM,2:30 PM
Period 1,3/1/2023,7:45 AM,8:30 AM
Period 2,3/1/2023,8:35 AM,9:17 AM
Period 3,3/1/2023,9:52 AM,10:34 AM
Period 4,3/1/2023,10:39 AM,11:21 AM
Lunch,3/1/2023,11:21 AM,12:09 PM
Period 5,3/1/2023,12:14 PM,12:56 PM
Period 6,3/1/2023,1:01 PM,1:43 PM
Period 7,3/1/2023,1:48 PM,2:30 PM
Advisory,3/1/2023,9:22 AM,9:47 AM
Period 1,3/2/2023,7:45 AM,8:33 AM
Period 2,3/2/2023,8:38 AM,9:21 AM
Period 3,3/2/2023,9:26 AM,10:09 AM
Period 4,3/2/2023,10:14 AM,10:57 AM
Lunch,3/2/2023,10:57 AM,11:47 AM
Period 5,3/2/2023,11:52 AM,12:35 PM
Period 6,3/2/2023,12:40 PM,1:42 PM
Period 7,3/2/2023,1:47 PM,2:30 PM
Period 1,3/6/2023,7:45 AM,8:33 AM
Period 2,3/6/2023,8:38 AM,9:21 AM
Period 3,3/6/2023,9:26 AM,10:09 AM
Period 4,3/6/2023,10:14 AM,10:57 AM
Lunch,3/6/2023,10:57 AM,11:47 AM
Period 5,3/6/2023,11:52 AM,12:35 PM
Period 6,3/6/2023,12:40 PM,1:23 PM
Period 7,3/6/2023,1:28 PM,2:30 PM
Period 1,3/7/2023,7:45 AM,8:52 AM
Period 2,3/7/2023,8:57 AM,9:40 AM
Period 3,3/7/2023,9:45 AM,10:28 AM
Period 4,3/7/2023,10:33 AM,11:16 AM
Lunch,3/7/2023,11:16 AM,12:06 PM
Period 5,3/7/2023,12:11 PM,12:54 PM
Period 6,3/7/2023,12:59 PM,1:42 PM
Period 7,3/7/2023,1:47 PM,2:30 PM
Period 1,3/8/2023,7:45 AM,8:30 AM
Period 2,3/8/2023,8:35 AM,9:17 AM
Period 3,3/8/2023,9:52 AM,10:34 AM
Period 4,3/8/2023,10:39 AM,11:21 AM
Lunch,3/8/2023,11:21 AM,12:09 PM
Period 5,3/8/2023,12:14 PM,12:56 PM
Period 6,3/8/2023,1:01 PM,1:43 PM
Period 7,3/8/2023,1:48 PM,2:30 PM
Advisory,3/8/2023,9:22 AM,9:47 AM
Period 1,3/9/2023,7:45 AM,8:33 AM
Period 2,3/9/2023,8:38 AM,9:40 AM
Period 3,3/9/2023,9:45 AM,10:28 AM
Period 4,3/9/2023,10:33 AM,11:16 AM
Lunch,3/9/2023,11:16 AM,12:06 PM
Period 5,3/9/2023,12:11 PM,12:54 PM
Period 6,3/9/2023,12:59 PM,1:42 PM
Period 7,3/9/2023,1:47 PM,2:30 PM
Period 1,3/10/2023,7:45 AM,8:33 AM
Period 2,3/10/2023,8:38 AM,9:21 AM
Period 3,3/10/2023,9:26 AM,10:28 AM
Period 4,3/10/2023,10:33 AM,11:16 AM
Lunch,3/10/2023,11:16 AM,12:06 PM
Period 5,3/10/2023,12:11 PM,12:54 PM
Period 6,3/10/2023,12:59 PM,1:42 PM
Period 7,3/10/2023,1:47 PM,2:30 PM
Period 1,3/13/2023,7:45 AM,8:33 AM
Period 2,3/13/2023,8:38 AM,9:21 AM
Period 3,3/13/2023,9:26 AM,10:09 AM
Period 4,3/13/2023,10:14 AM,11:16 AM
Lunch,3/13/2023,11:16 AM,12:06 PM
Period 5,3/13/2023,12:11 PM,12:54 PM
Period 6,3/13/2023,12:59 PM,1:42 PM
Period 7,3/13/2023,1:47 PM,2:30 PM
Period 1,3/14/2023,7:45 AM,8:33 AM
Period 2,3/14/2023,8:38 AM,9:21 AM
Period 3,3/14/2023,9:26 AM,10:09 AM
Period 4,3/14/2023,10:14 AM,10:57 AM
Lunch,3/14/2023,10:57 AM,11:47 AM
Period 5,3/14/2023,11:52 AM,12:54 PM
Period 6,3/14/2023,12:59 PM,1:42 PM
Period 7,3/14/2023,1:47 PM,2:30 PM
Period 1,3/16/2023,7:45 AM,8:33 AM
Period 2,3/16/2023,8:38 AM,9:21 AM
Period 3,3/16/2023,9:26 AM,10:09 AM
Period 4,3/16/2023,10:14 AM,10:57 AM
Lunch,3/16/2023,10:57 AM,11:47 AM
Period 5,3/16/2023,11:52 AM,12:35 PM
Period 6,3/16/2023,12:40 PM,1:42 PM
Period 7,3/16/2023,1:47 PM,2:30 PM
Period 1,3/17/2023,7:45 AM,8:33 AM
Period 2,3/17/2023,8:38 AM,9:21 AM
Period 3,3/17/2023,9:26 AM,10:09 AM
Period 4,3/17/2023,10:14 AM,10:57 AM
Lunch,3/17/2023,10:57 AM,11:47 AM
Period 5,3/17/2023,11:52 AM,12:35 PM
Period 6,3/17/2023,12:40 PM,1:23 PM
Period 7,3/17/2023,1:28 PM,2:30 PM
Period 1,3/20/2023,7:45 AM,8:52 AM
Period 2,3/20/2023,8:57 AM,9:40 AM
Period 3,3/20/2023,9:45 AM,10:28 AM
Period 4,3/20/2023,10:33 AM,11:16 AM
Lunch,3/20/2023,11:16 AM,12:06 PM
Period 5,3/20/2023,12:11 PM,12:54 PM
Period 6,3/20/2023,12:59 PM,1:42 PM
Period 7,3/20/2023,1:47 PM,2:30 PM
Period 1,3/21/2023,7:45 AM,8:33 AM
Period 2,3/21/2023,8:38 AM,9:40 AM
Period 3,3/21/2023,9:45 AM,10:28 AM
Period 4,3/21/2023,10:33 AM,11:16 AM
Lunch,3/21/2023,11:16 AM,12:06 PM
Period 5,3/21/2023,12:11 PM,12:54 PM
Period 6,3/21/2023,12:59 PM,1:42 PM
Period 7,3/21/2023,1:47 PM,2:30 PM
Period 1,3/22/2023,7:45 AM,8:30 AM
Period 2,3/22/2023,8:35 AM,9:17 AM
Period 3,3/22/2023,9:52 AM,10:34 AM
Period 4,3/22/2023,10:39 AM,11:21 AM
Lunch,3/22/2023,11:21 AM,12:09 PM
Period 5,3/22/2023,12:14 PM,12:56 PM
Period 6,3/22/2023,1:01 PM,1:43 PM
Period 7,3/22/2023,1:48 PM,2:30 PM
Advisory,3/22/2023,9:22 AM,9:47 AM
Period 1,3/23/2023,7:45 AM,8:33 AM
Period 2,3/23/2023,8:38 AM,9:21 AM
Period 3,3/23/2023,9:26 AM,10:28 AM
Period 4,3/23/2023,10:33 AM,11:16 AM
Lunch,3/23/2023,11:16 AM,12:06 PM
Period 5,3/23/2023,12:11 PM,12:54 PM
Period 6,3/23/2023,12:59 PM,1:42 PM
Period 7,3/23/2023,1:47 PM,2:30 PM
Period 1,3/24/2023,7:45 AM,8:33 AM
Period 2,3/24/2023,8:38 AM,9:21 AM
Period 3,3/24/2023,9:26 AM,10:09 AM
Period 4,3/24/2023,10:14 AM,11:16 AM
Lunch,3/24/2023,11:16 AM,12:06 PM
Period 5,3/24/2023,12:11 PM,12:54 PM
Period 6,3/24/2023,12:59 PM,1:42 PM
Period 7,3/24/2023,1:47 PM,2:30 PM
Period 1,3/27/2023,7:45 AM,8:33 AM
Period 2,3/27/2023,8:38 AM,9:21 AM
Period 3,3/27/2023,9:26 AM,10:09 AM
Period 4,3/27/2023,10:14 AM,10:57 AM
Lunch,3/27/2023,10:57 AM,11:47 AM
Period 5,3/27/2023,11:52 AM,12:54 PM
Period 6,3/27/2023,12:59 PM,1:42 PM
Period 7,3/27/2023,1:47 PM,2:30 PM
Period 1,3/28/2023,7:45 AM,8:33 AM
Period 2,3/28/2023,8:38 AM,9:21 AM
Period 3,3/28/2023,9:26 AM,10:09 AM
Period 4,3/28/2023,10:14 AM,10:57 AM
Lunch,3/28/2023,10:57 AM,11:47 AM
Period 5,3/28/2023,11:52 AM,12:35 PM
Period 6,3/28/2023,12:40 PM,1:42 PM
Period 7,3/28/2023,1:47 PM,2:30 PM
Period 1,3/29/2023,7:45 AM,8:30 AM
Period 2,3/29/2023,8:35 AM,9:17 AM
Period 3,3/29/2023,9:52 AM,10:34 AM
Period 4,3/29/2023,10:39 AM,11:21 AM
Lunch,3/29/2023,11:21 AM,12:09 PM
Period 5,3/29/2023,12:14 PM,12:56 PM
Period 6,3/29/2023,1:01 PM,1:43 PM
Period 7,3/29/2023,1:48 PM,2:30 PM
Advisory,3/29/2023,9:22 AM,9:47 AM
Period 1,3/30/2023,7:45 AM,8:33 AM
Period 2,3/30/2023,8:38 AM,9:21 AM
Period 3,3/30/2023,9:26 AM,10:09 AM
Period 4,3/30/2023,10:14 AM,10:57 AM
Lunch,3/30/2023,10:57 AM,11:47 AM
Period 5,3/30/2023,11:52 AM,12:35 PM
Period 6,3/30/2023,12:40 PM,1:23 PM
Period 7,3/30/2023,1:28 PM,2:30 PM
Period 1,4/11/2023,7:45 AM,8:52 AM
Period 2,4/11/2023,8:57 AM,9:40 AM
Period 3,4/11/2023,9:45 AM,10:28 AM
Period 4,4/11/2023,10:33 AM,11:16 AM
Lunch,4/11/2023,11:16 AM,12:06 PM
Period 5,4/11/2023,12:11 PM,12:54 PM
Period 6,4/11/2023,12:59 PM,1:42 PM
Period 7,4/11/2023,1:47 PM,2:30 PM
Period 1,4/12/2023,7:45 AM,8:30 AM
Period 2,4/12/2023,8:35 AM,9:17 AM
Period 3,4/12/2023,9:52 AM,10:34 AM
Period 4,4/12/2023,10:39 AM,11:21 AM
Lunch,4/12/2023,11:21 AM,12:09 PM
Period 5,4/12/2023,12:14 PM,12:56 PM
Period 6,4/12/2023,1:01 PM,1:43 PM
Period 7,4/12/2023,1:48 PM,2:30 PM
Advisory,4/12/2023,9:22 AM,9:47 AM
Period 1,4/13/2023,7:45 AM,8:33 AM
Period 2,4/13/2023,8:38 AM,9:40 AM
Period 3,4/13/2023,9:45 AM,10:28 AM
Period 4,4/13/2023,10:33 AM,11:16 AM
Lunch,4/13/2023,11:16 AM,12:06 PM
Period 5,4/13/2023,12:11 PM,12:54 PM
Period 6,4/13/2023,12:59 PM,1:42 PM
Period 7,4/13/2023,1:47 PM,2:30 PM
Period 1,4/17/2023,7:45 AM,8:33 AM
Period 2,4/17/2023,8:38 AM,9:21 AM
Period 3,4/17/2023,9:26 AM,10:28 AM
Period 4,4/17/2023,10:33 AM,11:16 AM
Lunch,4/17/2023,11:16 AM,12:06 PM
Period 5,4/17/2023,12:11 PM,12:54 PM
Period 6,4/17/2023,12:59 PM,1:42 PM
Period 7,4/17/2023,1:47 PM,2:30 PM
Period 1,4/18/2023,7:45 AM,8:33 AM
Period 2,4/18/2023,8:38 AM,9:21 AM
Period 3,4/18/2023,9:26 AM,10:09 AM
Period 4,4/18/2023,10:14 AM,11:16 AM
Lunch,4/18/2023,11:16 AM,12:06 PM
Period 5,4/18/2023,12:11 PM,12:54 PM
Period 6,4/18/2023,12:59 PM,1:42 PM
Period 7,4/18/2023,1:47 PM,2:30 PM
Period 1,4/19/2023,7:45 AM,8:30 AM
Period 2,4/19/2023,8:35 AM,9:17 AM
Period 3,4/19/2023,9:52 AM,10:34 AM
Period 4,4/19/2023,10:39 AM,11:21 AM
Lunch,4/19/2023,11:21 AM,12:09 PM
Period 5,4/19/2023,12:14 PM,12:56 PM
Period 6,4/19/2023,1:01 PM,1:43 PM
Period 7,4/19/2023,1:48 PM,2:30 PM
Advisory,4/19/2023,9:22 AM,9:47 AM
Period 1,4/20/2023,7:45 AM,8:33 AM
Period 2,4/20/2023,8:38 AM,9:21 AM
Period 3,4/20/2023,9:26 AM,10:09 AM
Period 4,4/20/2023,10:14 AM,10:57 AM
Lunch,4/20/2023,10:57 AM,11:47 AM
Period 5,4/20/2023,11:52 AM,12:54 PM
Period 6,4/20/2023,12:59 PM,1:42 PM
Period 7,4/20/2023,1:47 PM,2:30 PM
Period 1,4/24/2023,7:45 AM,8:33 AM
Period 2,4/24/2023,8:38 AM,9:21 AM
Period 3,4/24/2023,9:26 AM,10:09 AM
Period 4,4/24/2023,10:14 AM,10:57 AM
Lunch,4/24/2023,10:57 AM,11:47 AM
Period 5,4/24/2023,11:52 AM,12:35 PM
Period 6,4/24/2023,12:40 PM,1:42 PM
Period 7,4/24/2023,1:47 PM,2:30 PM
Period 1,4/25/2023,7:45 AM,8:33 AM
Period 2,4/25/2023,8:38 AM,9:21 AM
Period 3,4/25/2023,9:26 AM,10:09 AM
Period 4,4/25/2023,10:14 AM,10:57 AM
Lunch,4/25/2023,10:57 AM,11:47 AM
Period 5,4/25/2023,11:52 AM,12:35 PM
Period 6,4/25/2023,12:40 PM,1:23 PM
Period 7,4/25/2023,1:28 PM,2:30 PM
Period 1,4/26/2023,7:45 AM,8:30 AM
Period 2,4/26/2023,8:35 AM,9:17 AM
Period 3,4/26/2023,9:52 AM,10:34 AM
Period 4,4/26/2023,10:39 AM,11:21 AM
Lunch,4/26/2023,11:21 AM,12:09 PM
