Subject,Start Date,Start Time,End Time
Period 1,9/22/2022,7:45 AM,8:33 AM
Period 2,9/22/2022,8:38 AM,9:21 AM
Period 3,9/22/2022,9:26 AM,10:09 AM
Period 4,9/22/2022,10:14 AM,11:16 AM
Lunch,9/22/2022,11:16 AM,12:06 PM
Period 5,9/22/2022,12:11 PM,12:54 PM
Period 6,9/22/2022,12:59 PM,1:42 PM
Period 7,9/22/2022,1:47 PM,2:30 PM
Period 1,9/23/2022,7:45 AM,8:33 AM
Period 2,9/23/2022,8:38 AM,9:21 AM
Period 3,9/23/2022,9:26 AM,10:09 AM
Period 4,9/23/2022,10:14 AM,10:57 AM
Lunch,9/23/2022,10:57 AM,11:47 AM
Period 5,9/23/2022,11:52 AM,12:54 PM
Period 6,9/23/2022,12:59 PM,1:42 PM
Period 7,9/23/2022,1:47 PM,2:30 PM
Period 1,9/27/2022,7:45 AM,8:33 AM
Period 2,9/27/2022,8:38 AM,9:21 AM
Period 3,9/27/2022,9:26 AM,10:09 AM
Period 4,9/27/2022,10:14 AM,10:57 AM
Lunch,9/27/2022,10:57 AM,11:47 AM
Period 5,9/27/2022,11:52 AM,12:35 PM
Period 6,9/27/2022,12:40 PM,1:42 PM
Period 7,9/27/2022,1:47 PM,2:30 PM
Period 1,9/28/2022,7:45 AM,8:30 AM
Period 2,9/28/2022,8:35 AM,9:17 AM
Period 3,9/28/2022,9:52 AM,10:34 AM
Period 4,9/28/2022,10:39 AM,11:21 AM
Lunch,9/28/2022,11:21 AM,12:09 PM
Period 5,9/28/2022,12:14 PM,12:56 PM
Period 6,9/28/2022,1:01 PM,1:43 PM
Period 7,9/28/2022,1:48 PM,2:30 PM
Advisory,9/28/2022,9:22 AM,9:47 AM
Period 1,9/29/2022,7:45 AM,8:33 AM
Period 2,9/29/2022,8:38 AM,9:21 AM
Period 3,9/29/2022,9:26 AM,10:09 AM
Period 4,9/29/2022,10:14 AM,10:57 AM
Lunch,9/29/2022,10:57 AM,11:47 AM
Period 5,9/29/2022,11:52 AM,12:35 PM
Period 6,9/29/2022,12:40 PM,1:23 PM
Period 7,9/29/2022,1:28 PM,2:30 PM
Period 1,10/4/2022,7:45 AM,8:52 AM
Period 2,10/4/2022,8:57 AM,9:40 AM
Period 3,10/4/2022,9:45 AM,10:28 AM
Period 4,10/4/2022,10:33 AM,11:16 AM
Lunch,10/4/2022,11:16 AM,12:06 PM
Period 5,10/4/2022,12:11 PM,12:54 PM
Period 6,10/4/2022,12:59 PM,1:42 PM
Period 7,10/4/2022,1:47 PM,2:30 PM
Period 1,10/6/2022,7:45 AM,8:33 AM
Period 2,10/6/2022,8:38 AM,9:21 AM
Period 3,10/6/2022,9:26 AM,10:28 AM
Period 4,10/6/2022,10:33 AM,11:16 AM
Lunch,10/6/2022,11:16 AM,12:06 PM
Period 5,10/6/2022,12:11 PM,12:54 PM
Period 6,10/6/2022,12:59 PM,1:42 PM
Period 7,10/6/2022,1:47 PM,2:30 PM
Period 1,10/7/2022,7:45 AM,8:33 AM
Period 2,10/7/2022,8:38 AM,9:21 AM
Period 3,10/7/2022,9:26 AM,10:09 AM
Period 4,10/7/2022,10:14 AM,11:16 AM
Lunch,10/7/2022,11:16 AM,12:06 PM
Period 5,10/7/2022,12:11 PM,12:54 PM
Period 6,10/7/2022,12:59 PM,1:42 PM
Period 7,10/7/2022,1:47 PM,2:30 PM
Period 1,10/10/2022,7:45 AM,8:33 AM
Period 2,10/10/2022,8:38 AM,9:21 AM
Period 3,10/10/2022,9:26 AM,10:09 AM
Period 4,10/10/2022,10:14 AM,10:57 AM
Lunch,10/10/2022,10:57 AM,11:47 AM
Period 5,10/10/2022,11:52 AM,12:54 PM
Period 6,10/10/2022,12:59 PM,1:42 PM
Period 7,10/10/2022,1:47 PM,2:30 PM
Period 1,10/11/2022,7:45 AM,8:33 AM
Period 2,10/11/2022,8:38 AM,9:21 AM
Period 3,10/11/2022,9:26 AM,10:09 AM
Period 4,10/11/2022,10:14 AM,10:57 AM
Lunch,10/11/2022,10:57 AM,11:47 AM
Period 5,10/11/2022,11:52 AM,12:35 PM
Period 6,10/11/2022,12:40 PM,1:42 PM
Period 7,10/11/2022,1:47 PM,2:30 PM
Period 1,10/13/2022,7:45 AM,8:33 AM
Period 2,10/13/2022,8:38 AM,9:21 AM
Period 3,10/13/2022,9:26 AM,10:09 AM
Period 4,10/13/2022,10:14 AM,10:57 AM
Lunch,10/13/2022,10:57 AM,11:47 AM
Period 5,10/13/2022,11:52 AM,12:35 PM
Period 6,10/13/2022,12:40 PM,1:23 PM
Period 7,10/13/2022,1:28 PM,2:30 PM
Period 1,10/17/2022,7:45 AM,8:52 AM
Period 2,10/17/2022,8:57 AM,9:40 AM
Period 3,10/17/2022,9:45 AM,10:28 AM
Period 4,10/17/2022,10:33 AM,11:16 AM
Lunch,10/17/2022,11:16 AM,12:06 PM
Period 5,10/17/2022,12:11 PM,12:54 PM
Period 6,10/17/2022,12:59 PM,1:42 PM
Period 7,10/17/2022,1:47 PM,2:30 PM
Period 1,10/18/2022,7:45 AM,8:33 AM
Period 2,10/18/2022,8:38 AM,9:40 AM
Period 3,10/18/2022,9:45 AM,10:28 AM
Period 4,10/18/2022,10:33 AM,11:16 AM
Lunch,10/18/2022,11:16 AM,12:06 PM
Period 5,10/18/2022,12:11 PM,12:54 PM
Period 6,10/18/2022,12:59 PM,1:42 PM
Period 7,10/18/2022,1:47 PM,2:30 PM
Period 1,10/19/2022,7:45 AM,8:30 AM
Period 2,10/19/2022,8:35 AM,9:17 AM
Period 3,10/19/2022,9:52 AM,10:34 AM
Period 4,10/19/2022,10:39 AM,11:21 AM
Lunch,10/19/2022,11:21 AM,12:09 PM
Period 5,10/19/2022,12:14 PM,12:56 PM
Period 6,10/19/2022,1:01 PM,1:43 PM
Period 7,10/19/2022,1:48 PM,2:30 PM
Advisory,10/19/2022,9:22 AM,9:47 AM
Period 1,10/20/2022,7:45 AM,8:33 AM
Period 2,10/20/2022,8:38 AM,9:21 AM
Period 3,10/20/2022,9:26 AM,10:28 AM
Period 4,10/20/2022,10:33 AM,11:16 AM
Lunch,10/20/2022,11:16 AM,12:06 PM
Period 5,10/20/2022,12:11 PM,12:54 PM
Period 6,10/20/2022,12:59 PM,1:42 PM
Period 7,10/20/2022,1:47 PM,2:30 PM
Period 1,10/21/2022,7:45 AM,8:33 AM
Period 2,10/21/2022,8:38 AM,9:21 AM
Period 3,10/21/2022,9:26 AM,10:09 AM
Period 4,10/21/2022,10:14 AM,11:16 AM
Lunch,10/21/2022,11:16 AM,12:06 PM
Period 5,10/21/2022,12:11 PM,12:54 PM
